"code","name","country_id:id","short_code"
"01","Amazonas","base.ve","AMA"
"02","Anzoátegui","base.ve","ANZ"
"03","Apure","base.ve","APU"
"04","Aragua","base.ve","ARA"
"05","Barinas","base.ve","BAR"
"06","Bolívar","base.ve","BOL"
"07","Carabobo","base.ve","CAR"
"08","Cojedes","base.ve","COJ"
"09","Delta Amacuro","base.ve","DAM"
"10","Distrito Capital","base.ve","DCA"
"11","Falcón","base.ve","FAL"
"12","Guárico","base.ve","GUA"
"13","Lara","base.ve","LAR"
"14","Mérida","base.ve","MER"
"15","Miranda","base.ve","MIR"
"16","Monagas","base.ve","MON"
"17","Nueva Esparta","base.ve","NES"
"18","Portuguesa","base.ve","POR"
"19","Sucre","base.ve","SUC"
"20","Táchira","base.ve","TAC"
"21","Trujillo","base.ve","TRU"
"22","Vargas","base.ve","VAR"
"23","Yaracuy","base.ve","YAR"
"24","Zulia","base.ve","ZUL"